 5.0000      753.00
 5.2210      747.00
 5.4421      781.00
 5.6631      782.00
 5.8842      732.00
 6.1052      851.00
 6.3263      817.00
 6.5473      809.00
 6.7684      891.00
 6.9894      958.00
 7.2105      910.00
 7.4315      969.00
 7.6526      990.00
 7.8736     1045.00
 8.0947      955.00
 8.3157      965.00
 8.5368     1024.00
 8.7578      953.00
 8.9789      976.00
 9.1999      954.00
 9.4210      947.00
 9.6420      972.00
 9.8631      874.00
10.0841      831.00
10.3052      881.00
10.5262      864.00
10.7473      831.00
10.9683      834.00
11.1894      766.00
11.4104      784.00
11.6315      728.00
11.8525      768.00
12.0736      736.00
12.2947      731.00
12.5157      679.00
12.7368      661.00
12.9578      649.00
13.1789      705.00
13.3999      625.00
13.6210      655.00
13.8420      584.00
14.0631      603.00
14.2841      588.00
14.5052      575.00
14.7262      600.00
14.9473      605.00
15.1683      619.00
15.3894      649.00
15.6104      624.00
15.8315      540.00
16.0525      561.00
16.2736      559.00
16.4946      553.00
16.7157      529.00
16.9367      556.00
17.1578      538.00
17.3788      538.00
17.5998      510.00
17.8209      483.00
18.0419      491.00
18.2630      532.00
18.4840      564.00
18.7051      520.00
18.9261      488.00
19.1472      512.00
19.3682      496.00
19.5893      518.00
19.8103      537.00
20.0314      486.00
20.2524      518.00
20.4735      516.00
20.6945      466.00
20.9156      468.00
21.1366      467.00
21.3577      498.00
21.5787      500.00
21.7998      509.00
22.0208      490.00
22.2419      452.00
22.4629      443.00
22.6840      490.00
22.9050      487.00
23.1261      494.00
23.3471      497.00
23.5682      440.00
23.7892      458.00
24.0103      431.00
24.2313      494.00
24.4524      509.00
24.6734      457.00
24.8945      456.00
25.1155      467.00
25.3366      442.00
25.5576      498.00
25.7787      477.00
25.9997      471.00
26.2208      445.00
26.4418      436.00
26.6629      426.00
26.8839      413.00
27.1050      424.00
27.3260      391.00
27.5471      388.00
27.7681      412.00
27.9892      335.00
28.2102      403.00
28.4313      369.00
28.6523      348.00
28.8734      395.00
29.0944      346.00
29.3155      372.00
29.5365      330.00
29.7576      353.00
29.9786      347.00
30.1997      346.00
30.4207      318.00
30.6418      310.00
30.8628      355.00
31.0839      322.00
31.3049      349.00
31.5260      339.00
31.7470      351.00
31.9681      327.00
32.1891      330.00
32.4102      306.00
32.6313      319.00
32.8523      324.00
33.0733      327.00
33.2944      328.00
33.5155      286.00
33.7365      314.00
33.9575      301.00
34.1786      292.00
34.3997      344.00
34.6207      313.00
34.8417      307.00
35.0628      283.00
35.2839      278.00
35.5049      320.00
35.7259      305.00
35.9470      315.00
36.1681      317.00
36.3891      309.00
36.6101      334.00
36.8312      335.00
37.0523      324.00
37.2733      290.00
37.4943      303.00
37.7154      260.00
37.9365      301.00
38.1575      318.00
38.3785      306.00
38.5996      294.00
38.8207      305.00
39.0417      292.00
39.2627      310.00
39.4838      290.00
39.7049      299.00
39.9259      327.00
40.1469      319.00
40.3680      309.00
40.5891      312.00
40.8101      333.00
41.0311      326.00
41.2522      353.00
41.4733      310.00
41.6943      309.00
41.9153      329.00
42.1364      323.00
42.3575      321.00
42.5785      328.00
42.7995      365.00
43.0206      347.00
43.2416      369.00
43.4627      347.00
43.6837      419.00
43.9048      420.00
44.1258      455.00
44.3469      678.00
44.5679     1385.00
44.7890     1640.00
45.0100      962.00
45.2311      507.00
45.4521      415.00
45.6732      356.00
45.8942      344.00
46.1153      366.00
46.3363      354.00
46.5574      357.00
46.7784      309.00
46.9995      323.00
47.2205      346.00
47.4416      307.00
47.6626      312.00
47.8837      311.00
48.1048      323.00
48.3258      330.00
48.5468      261.00
48.7679      319.00
48.9890      314.00
49.2100      300.00
49.4310      321.00
49.6521      300.00
49.8732      323.00
50.0942      321.00
50.3152      312.00
50.5363      333.00
50.7574      291.00
50.9784      333.00
51.1994      320.00
51.4205      356.00
51.6416      443.00
51.8626      639.00
52.0836      701.00
52.3047      543.00
52.5258      423.00
52.7468      376.00
52.9678      382.00
53.1889      275.00
53.4100      330.00
53.6310      322.00
53.8520      325.00
54.0731      310.00
54.2942      318.00
54.5152      285.00
54.7362      289.00
54.9573      330.00
55.1784      298.00
55.3994      345.00
55.6204      293.00
55.8415      321.00
56.0626      319.00
56.2836      302.00
56.5046      311.00
56.7257      309.00
56.9468      285.00
57.1678      310.00
57.3888      292.00
57.6099      316.00
57.8310      312.00
58.0520      326.00
58.2730      322.00
58.4941      337.00
58.7152      310.00
58.9362      323.00
59.1572      319.00
59.3783      344.00
59.5994      356.00
59.8204      356.00
60.0414      319.00
60.2625      341.00
60.4836      305.00
60.7046      339.00
60.9256      340.00
61.1467      342.00
61.3678      353.00
61.5888      332.00
61.8098      350.00
62.0309      342.00
62.2520      334.00
62.4730      333.00
62.6940      347.00
62.9151      355.00
63.1362      331.00
63.3572      362.00
63.5782      350.00
63.7993      301.00
64.0203      340.00
64.2414      325.00
64.4625      312.00
64.6835      310.00
64.9046      300.00
65.1256      340.00
65.3466      320.00
65.5677      334.00
65.7887      322.00
66.0098      320.00
66.2309      301.00
66.4519      274.00
66.6730      291.00
66.8940      309.00
67.1150      260.00
67.3361      281.00
67.5571      271.00
67.7782      285.00
67.9993      271.00
68.2203      307.00
68.4413      291.00
68.6624      279.00
68.8834      283.00
