330,30303.0303,3.75697,0.13523,0.04044,0.03479,0.01854,0.05662,0.67968,0.01005
330.5,30257.18608,3.75129,0.13915,0.04278,0.03515,0.0206,0.05879,0.60625,0.01113
331,30211.48036,3.74562,0.14454,0.04525,0.03587,0.02222,0.06086,0.54113,0.01266
331.5,30165.91252,3.73997,0.14679,0.04672,0.03485,0.02229,0.0602,0.48111,0.01184
332,30120.48193,3.73434,0.15103,0.04969,0.03543,0.02422,0.06268,0.43015,0.01261
332.5,30075.18797,3.72872,0.1548,0.05098,0.0354,0.02586,0.06339,0.38408,0.01345
333,30030.03003,3.72312,0.1581,0.0534,0.03562,0.02712,0.06449,0.34347,0.01358
333.5,29985.0075,3.71754,0.16284,0.05563,0.03557,0.02849,0.06593,0.30468,0.01429
334,29940.11976,3.71198,0.16655,0.05753,0.03556,0.02979,0.06723,0.26928,0.01542
334.5,29895.36622,3.70643,0.17094,0.06158,0.03686,0.03223,0.06937,0.23923,0.01612
335,29850.74627,3.7009,0.17577,0.06359,0.03675,0.03402,0.07108,0.21306,0.01722
335.5,29806.25931,3.69538,0.179,0.06581,0.03649,0.03526,0.07202,0.18894,0.01721
336,29761.90476,3.68988,0.18472,0.06912,0.03796,0.03785,0.07436,0.16865,0.01896
336.5,29717.68202,3.6844,0.18839,0.07204,0.03793,0.03945,0.0759,0.15053,0.01987
337,29673.5905,3.67893,0.1924,0.07478,0.03812,0.04053,0.07745,0.1331,0.01988
337.5,29629.62963,3.67348,0.19714,0.07825,0.03855,0.04323,0.07947,0.1188,0.02151
338,29585.79882,3.66805,0.20196,0.08043,0.03835,0.04528,0.08116,0.10574,0.02288
338.5,29542.09749,3.66263,0.20576,0.08336,0.03975,0.04729,0.08307,0.09488,0.02311
339,29498.52507,3.65723,0.21064,0.08666,0.04057,0.04937,0.08509,0.08571,0.02445
339.5,29455.081,3.65184,0.21434,0.08928,0.04066,0.05179,0.08732,0.07705,0.02561
340,29411.76471,3.64647,0.21874,0.09268,0.04165,0.05322,0.0889,0.06961,0.02602
340.5,29368.57562,3.64112,0.22344,0.09581,0.04243,0.05604,0.0908,0.0634,0.02757
341,29325.5132,3.63578,0.22779,0.09902,0.04283,0.05775,0.09329,0.05727,0.02887
341.5,29282.57687,3.63045,0.2322,0.10272,0.04428,0.06059,0.09555,0.05289,0.03016
342,29239.76608,3.62515,0.23729,0.10598,0.04494,0.06309,0.09734,0.04906,0.03188
342.5,29197.08029,3.61985,0.24107,0.10901,0.04577,0.06533,0.0993,0.04491,0.03275
343,29154.51895,3.61458,0.24544,0.11239,0.04683,0.0682,0.10223,0.04167,0.03439
343.5,29112.08151,3.60932,0.25067,0.11604,0.04714,0.07057,0.10421,0.03912,0.03551
344,29069.76744,3.60407,0.25486,0.11896,0.04798,0.07271,0.10638,0.03539,0.03667
344.5,29027.5762,3.59884,0.25972,0.1232,0.04969,0.07608,0.10882,0.03376,0.03866
345,28985.50725,3.59362,0.26538,0.12706,0.05091,0.07917,0.11146,0.03179,0.04045
345.5,28943.56006,3.58842,0.26852,0.13005,0.0517,0.08125,0.11367,0.02975,0.04146
346,28901.7341,3.58324,0.27372,0.13454,0.05329,0.0847,0.11674,0.02895,0.04343
346.5,28860.02886,3.57807,0.2783,0.13816,0.05441,0.0877,0.11905,0.0277,0.04517
347,28818.4438,3.57291,0.28285,0.14226,0.05545,0.0903,0.1215,0.02653,0.04668
