[nm]	norm A
	
350	0.223493568
350.5	0.226066351
351	0.228639133
351.5	0.231211916
352	0.233716994
352.5	0.236492891
353	0.238930264
353.5	0.241706161
354	0.244955992
354.5	0.247664184
355	0.250575491
355.5	0.253351388
356	0.256465809
356.5	0.259512525
357	0.262626947
357.5	0.265605958
358	0.268652674
358.5	0.271767095
359	0.274881517
359.5	0.278266757
360	0.281448883
360.5	0.284834123
361	0.288219364
361.5	0.291333785
362	0.294854435
362.5	0.298239675
363	0.301489506
363.5	0.304942451
364	0.308530806
364.5	0.311916046
365	0.315504401
365.5	0.319025051
366	0.322613406
366.5	0.32647258
367	0.32999323
367.5	0.334190928
368	0.337779282
368.5	0.341570752
369	0.345159106
369.5	0.34915369
370	0.353012864
370.5	0.357481381
371	0.361340555
371.5	0.365741368
372	0.37000677
372.5	0.374136764
373	0.378672986
373.5	0.383209208
374	0.38761002
374.5	0.392620176
375	0.397156398
375.5	0.402098849
376	0.407312119
376.5	0.411848341
377	0.417400135
377.5	0.422477996
378	0.427555856
378.5	0.433107651
379	0.438930264
379.5	0.444346649
380	0.450236967
380.5	0.456262695
381	0.462153013
381.5	0.468517265
382	0.474881517
382.5	0.481381178
383	0.487948544
383.5	0.494515911
384	0.501421801
384.5	0.508192282
385	0.515233582
385.5	0.522207177
386	0.529045362
386.5	0.536425186
387	0.543534191
387.5	0.550507786
388	0.55802302
388.5	0.565132024
389	0.572173324
389.5	0.579214624
390	0.586459039
390.5	0.593500339
391	0.599796886
391.5	0.606770481
392	0.613608666
392.5	0.61943128
393	0.625863236
393.5	0.631821259
394	0.637643873
394.5	0.642992552
395	0.648070413
395.5	0.652945159
396	0.657481381
396.5	0.66154367
397	0.665199729
397.5	0.668652674
398	0.671360867
398.5	0.673730535
399	0.67549086
399.5	0.676709546
400	0.67731889
400.5	0.677792823
401	0.677657414
401.5	0.676506432
402	0.675693974
402.5	0.674001354
403	0.672037915
403.5	0.669397427
404	0.666418416
404.5	0.663033175
405	0.659106297
405.5	0.655111713
406	0.6507109
406.5	0.646039269
407	0.641232227
407.5	0.635951253
408	0.630670278
408.5	0.625118483
409	0.619566689
409.5	0.613744076
410	0.608192282
410.5	0.602234259
411	0.596208531
411.5	0.590318213
412	0.584292485
412.5	0.578199052
413	0.572308734
413.5	0.566147596
414	0.560324983
414.5	0.55436696
415	0.548341232
415.5	0.5422478
416	0.536560596
416.5	0.530602573
417	0.52464455
417.5	0.518889641
418	0.512999323
418.5	0.5070413
419	0.501354096
419.5	0.495463778
420	0.489708869
420.5	0.484157075
421	0.478402167
421.5	0.472579553
422	0.467230873
422.5	0.461679079
423	0.456127285
423.5	0.4507109
424	0.445294516
424.5	0.440013541
425	0.434800271
425.5	0.42972241
426	0.424712255
426.5	0.419634394
427	0.414827353
427.5	0.410291131
428	0.405619499
428.5	0.401015572
429	0.396682464
429.5	0.392417062
430	0.388219364
430.5	0.38408937
431	0.380297901
431.5	0.376438727
432	0.372782668
432.5	0.369194313
433	0.365741368
433.5	0.362423832
434	0.359241706
434.5	0.35605958
435	0.353148274
435.5	0.350169262
436	0.34732566
436.5	0.344617468
437	0.342044685
437.5	0.339471903
438	0.337169939
438.5	0.334800271
439	0.332701422
439.5	0.330534868
440	0.328436019
440.5	0.326607989
441	0.324779959
441.5	0.32295193
442	0.321259309
442.5	0.319566689
443	0.317874069
443.5	0.316384563
444	0.314895058
444.5	0.313405552
445	0.311983751
445.5	0.31056195
446	0.309140149
446.5	0.307853758
447	0.306431957
447.5	0.305077861
448	0.303723764
448.5	0.302437373
449	0.301083277
449.5	0.299729181
450	0.298375085
450.5	0.297020988
451	0.295666892
451.5	0.294312796
452	0.292890995
452.5	0.291604604
453	0.290250508
453.5	0.289031821
454	0.28761002
454.5	0.286391334
455	0.285240352
455.5	0.284021666
456	0.282870684
456.5	0.281584292
457	0.280636425
457.5	0.279553148
458	0.278672986
458.5	0.277725118
459	0.276844956
459.5	0.276032498
460	0.275287745
460.5	0.274542993
461	0.273865944
461.5	0.273324306
462	0.272782668
462.5	0.272308734
463	0.2718348
463.5	0.271428571
464	0.271090047
464.5	0.270886933
465	0.270548409
465.5	0.27027759
466	0.270074475
466.5	0.269939066
467	0.269803656
467.5	0.269803656
468	0.269735951
468.5	0.269668246
469	0.269735951
469.5	0.269668246
470	0.269939066
470.5	0.270074475
471	0.27014218
471.5	0.27027759
472	0.270480704
472.5	0.270616114
473	0.270751523
473.5	0.271022343
474	0.271225457
474.5	0.271428571
475	0.271699391
475.5	0.271902505
476	0.272173324
476.5	0.272444144
477	0.272714963
477.5	0.272985782
478	0.273324306
478.5	0.273595125
479	0.273865944
479.5	0.274136764
480	0.274475288
480.5	0.274813812
481	0.275152336
481.5	0.275423155
482	0.275761679
482.5	0.276032498
483	0.276371022
483.5	0.276709546
484	0.27704807
484.5	0.277386594
485	0.277792823
485.5	0.278131347
486	0.278469871
486.5	0.278808395
487	0.279146919
487.5	0.279553148
488	0.279891672
488.5	0.280297901
489	0.28070413
489.5	0.281110359
490	0.281516588
490.5	0.281922817
491	0.282329045
491.5	0.282802979
492	0.283209208
492.5	0.283750846
493	0.284292485
493.5	0.284766418
494	0.285308057
494.5	0.285849695
495	0.286459039
495.5	0.287068382
496	0.287677725
496.5	0.288287068
497	0.288964116
497.5	0.289641165
498	0.290318213
498.5	0.291062965
499	0.291807718
499.5	0.292687881
500	0.293500339
500.5	0.294312796
501	0.295328368
501.5	0.296208531
502	0.297291808
502.5	0.29830738
503	0.299458362
503.5	0.300609343
504	0.301760325
504.5	0.302979012
505	0.304265403
505.5	0.305551794
506	0.306838186
506.5	0.308192282
507	0.309614083
507.5	0.311035884
508	0.312457684
508.5	0.313879485
509	0.315368991
509.5	0.316790792
510	0.318280298
510.5	0.319837508
511	0.321394719
511.5	0.32295193
512	0.324576845
512.5	0.32620176
513	0.327894381
513.5	0.329587001
514	0.331347326
514.5	0.333175355
515	0.33507109
515.5	0.337034529
516	0.338997969
516.5	0.340961408
517	0.343060257
517.5	0.345159106
518	0.34732566
518.5	0.349492214
519	0.351794177
519.5	0.354096141
520	0.356465809
520.5	0.358835477
521	0.36127285
521.5	0.363777928
522	0.366350711
522.5	0.368855789
523	0.371496276
523.5	0.374136764
524	0.376777251
524.5	0.379485443
525	0.382193636
525.5	0.385037238
526	0.387813135
526.5	0.390656737
527	0.393568043
527.5	0.39647935
528	0.399390657
528.5	0.402369668
529	0.40534868
529.5	0.408395396
530	0.411442112
530.5	0.414488829
531	0.41760325
531.5	0.420717671
532	0.423899797
532.5	0.427081923
533	0.430399458
533.5	0.433649289
534	0.436966825
534.5	0.44041977
535	0.44380501
535.5	0.447257955
536	0.4507109
536.5	0.45423155
537	0.4577522
537.5	0.461340555
538	0.46492891
538.5	0.46858497
539	0.472241029
539.5	0.475964794
540	0.479688558
540.5	0.483480027
541	0.487339201
541.5	0.49113067
542	0.495057549
542.5	0.498916723
543	0.502911307
543.5	0.506838186
544	0.510832769
544.5	0.514827353
545	0.518821936
545.5	0.52281652
546	0.526946513
546.5	0.531008802
547	0.5352065
547.5	0.539404198
548	0.543669601
548.5	0.547935003
549	0.552200406
549.5	0.556533514
550	0.560866622
550.5	0.565199729
551	0.569600542
551.5	0.573933649
552	0.578402167
552.5	0.582802979
553	0.587203791
553.5	0.591672309
554	0.596140826
554.5	0.600677048
555	0.60521327
555.5	0.609817197
556	0.614353419
556.5	0.618889641
557	0.623493568
557.5	0.62802979
558	0.632566012
558.5	0.637169939
559	0.641706161
559.5	0.646310088
560	0.650914015
560.5	0.655517942
561	0.660121869
561.5	0.664658091
562	0.669329722
562.5	0.674001354
563	0.678605281
563.5	0.683276913
564	0.687813135
564.5	0.692484766
565	0.697088693
565.5	0.701557211
566	0.706228842
566.5	0.710832769
567	0.715368991
567.5	0.719837508
568	0.724373731
568.5	0.728909953
569	0.733446175
569.5	0.737914692
570	0.742383209
570.5	0.746919431
571	0.751252539
571.5	0.755517942
572	0.759918754
572.5	0.764251862
573	0.76844956
573.5	0.772714963
574	0.776844956
574.5	0.781042654
575	0.785172647
575.5	0.789370345
576	0.793432634
576.5	0.797562627
577	0.801557211
577.5	0.805619499
578	0.809681787
578.5	0.813676371
579	0.81746784
579.5	0.821394719
580	0.825186188
580.5	0.828774543
581	0.832633717
581.5	0.836289777
582	0.839810427
582.5	0.843669601
583	0.847054841
583.5	0.850507786
584	0.854096141
584.5	0.857549086
585	0.860798917
585.5	0.864048747
586	0.867433988
586.5	0.870480704
587	0.87366283
587.5	0.876777251
588	0.879823968
588.5	0.882735274
589	0.885781991
589.5	0.888828707
590	0.891604604
590.5	0.894312796
591	0.897088693
591.5	0.899932295
592	0.902572783
592.5	0.905280975
593	0.907853758
593.5	0.91042654
594	0.912999323
594.5	0.915233582
595	0.91760325
595.5	0.920108328
596	0.922410291
596.5	0.924779959
597	0.927081923
597.5	0.929180772
598	0.931076506
598.5	0.93324306
599	0.935341909
599.5	0.937305349
600	0.939201083
600.5	0.941164523
601	0.942924848
601.5	0.944752877
602	0.946513202
602.5	0.948408937
603	0.950101557
603.5	0.951591063
604	0.953351388
604.5	0.954908599
605	0.956465809
605.5	0.95802302
606	0.959647935
606.5	0.961069736
607	0.962423832
607.5	0.963777928
608	0.965199729
608.5	0.966350711
609	0.967704807
609.5	0.969058903
610	0.97014218
610.5	0.971360867
611	0.972444144
611.5	0.97366283
612	0.974678402
612.5	0.975626269
613	0.976709546
613.5	0.977589709
614	0.978740691
614.5	0.979688558
615	0.980433311
615.5	0.981516588
616	0.982329045
616.5	0.983209208
617	0.983953961
617.5	0.984698714
618	0.985578876
618.5	0.986323629
619	0.986865267
619.5	0.987677725
620	0.988354773
620.5	0.988964116
621	0.989505755
621.5	0.990318213
622	0.990792146
622.5	0.991469194
623	0.991875423
623.5	0.992417062
624	0.993026405
624.5	0.993500339
625	0.993838863
625.5	0.994515911
626	0.99478673
626.5	0.995260664
627	0.995463778
627.5	0.995937712
628	0.996208531
