[nm]	norm A
	
350	0.34567494
350.5	0.348643523
351	0.351694566
351.5	0.354333306
352	0.357384349
352.5	0.360435392
353	0.363486435
353.5	0.3667024
354	0.370083285
354.5	0.373051868
355	0.376432753
355.5	0.379813639
356	0.383029603
356.5	0.386328028
357	0.390038756
357.5	0.393007339
358	0.396223303
358.5	0.39976911
359	0.402902614
359.5	0.406201039
360	0.409746846
360.5	0.41296281
361	0.416673538
361.5	0.419642121
362	0.423023007
362.5	0.426568813
363	0.430279542
363.5	0.433413045
364	0.436876392
364.5	0.440257277
365	0.443555702
365.5	0.44718397
366	0.450317473
366.5	0.45378082
367	0.457161705
367.5	0.461037355
368	0.46433578
368.5	0.468458811
369	0.472004618
369.5	0.475797807
370	0.480003298
370.5	0.483878948
371	0.488249361
371.5	0.49212501
372	0.496412963
372.5	0.500206152
373	0.504329183
373.5	0.508617135
374	0.512740167
374.5	0.517605343
375	0.522223138
375.5	0.526593552
376	0.531293807
376.5	0.53566422
377	0.540694318
377.5	0.545477035
378	0.550507133
378.5	0.55545477
379	0.560484868
379.5	0.56592727
380	0.570874907
380.5	0.576399769
381	0.581924631
381.5	0.587367032
382	0.592974355
382.5	0.598499217
383	0.603941618
383.5	0.610126165
384	0.615980869
384.5	0.621588192
385	0.627772739
385.5	0.633957285
386	0.639729529
386.5	0.645336852
387	0.652181084
387.5	0.657705945
388	0.663890492
388.5	0.669992579
389	0.675599901
389.5	0.681701987
390	0.687804074
390.5	0.693576317
391	0.699018719
391.5	0.704626041
392	0.710233364
392.5	0.715840686
393	0.721118166
393.5	0.726065804
394	0.730766059
394.5	0.735961079
395	0.740496413
395.5	0.745279129
396	0.749237239
396.5	0.753030428
397	0.756576235
397.5	0.75987466
398	0.763173085
398.5	0.765646904
399	0.768368104
399.5	0.770677002
400	0.772656057
400.5	0.774140348
401	0.775459718
401.5	0.776861549
402	0.777521234
402.5	0.777933537
403	0.778593222
403.5	0.778180919
404	0.777851076
404.5	0.777768615
405	0.776944009
405.5	0.776449245
406	0.775377257
406.5	0.77438773
407	0.77315082
407.5	0.77174899
408	0.77042962
408.5	0.768697947
409	0.767213655
409.5	0.765564443
410	0.763750309
410.5	0.762183557
411	0.760781727
411.5	0.759050054
412	0.75723592
412.5	0.755669168
413	0.754349798
413.5	0.752618125
414	0.750886452
414.5	0.749649542
415	0.748495094
415.5	0.747340645
416	0.745691432
416.5	0.744454523
417	0.743300074
417.5	0.742393007
418	0.741321019
418.5	0.740331492
419	0.739341964
419.5	0.738682279
420	0.73752783
420.5	0.736868145
421	0.735961079
421.5	0.735301394
422	0.734394327
422.5	0.733817102
423	0.732992496
423.5	0.732332811
424	0.731590665
424.5	0.731095902
425	0.730023914
425.5	0.729116847
426	0.72820978
426.5	0.727385174
427	0.726395646
427.5	0.725241197
428	0.724004288
428.5	0.722684918
429	0.721283087
429.5	0.719963717
430	0.718314505
430.5	0.71641791
431	0.714768698
431.5	0.712707182
432	0.710480745
432.5	0.708089387
433	0.705615569
433.5	0.703389132
434	0.70050301
434.5	0.697534427
435	0.694483384
435.5	0.69126742
436	0.687968995
436.5	0.684423188
437	0.680547539
437.5	0.676589429
438	0.672383937
438.5	0.668343366
439	0.663808032
439.5	0.659520079
440	0.654737363
440.5	0.650119568
441	0.645419312
441.5	0.640471675
442	0.635688959
442.5	0.630741321
443	0.626123526
443.5	0.621505731
444	0.616640554
444.5	0.61210522
445	0.607734807
445.5	0.603117012
446	0.59899398
446.5	0.59495341
447	0.591160221
447.5	0.587614414
448	0.584151068
448.5	0.581017564
449	0.577966521
449.5	0.575327781
450	0.572771502
450.5	0.570709986
451	0.568730931
451.5	0.566834337
452	0.565267585
452.5	0.564113136
453	0.563123608
453.5	0.562381463
454	0.561721778
454.5	0.561309475
455	0.561144553
455.5	0.561391935
456	0.561639317
456.5	0.562216542
457	0.562793766
457.5	0.563453451
458	0.564525439
458.5	0.56592727
459	0.567164179
459.5	0.56856601
460	0.570380143
460.5	0.572111817
461	0.57392595
461.5	0.576069927
462	0.577966521
462.5	0.580275418
463	0.582584316
463.5	0.585223056
464	0.587614414
464.5	0.590418075
465	0.593056815
465.5	0.595860477
466	0.59891152
466.5	0.601797642
467	0.605013606
467.5	0.60814711
468	0.611198153
468.5	0.614579039
469	0.618042385
469.5	0.62142327
470	0.623402325
470.5	0.627277975
471	0.630906242
471.5	0.63453451
472	0.638245238
472.5	0.642038427
473	0.645666694
473.5	0.649542344
474	0.653417993
474.5	0.657211182
475	0.661086831
475.5	0.665127402
476	0.669085512
476.5	0.673043622
477	0.677166653
477.5	0.681207224
478	0.685330255
478.5	0.689453286
479	0.693741239
479.5	0.69786427
480	0.702152222
480.5	0.706357714
481	0.710563206
481.5	0.714851159
482	0.71897419
482.5	0.723262142
483	0.727550095
483.5	0.731838047
484	0.73620846
484.5	0.740413952
485	0.744701905
485.5	0.748907397
486	0.753195349
486.5	0.757400841
487	0.761688794
487.5	0.765894285
488	0.770099777
488.5	0.774222809
489	0.7784283
489.5	0.78238641
490	0.786509442
490.5	0.790550012
491	0.794673044
491.5	0.798796075
492	0.802754185
492.5	0.806712295
493	0.810587944
493.5	0.814546054
494	0.818339243
494.5	0.822214892
495	0.825925621
495.5	0.829553888
496	0.833182156
496.5	0.836810423
497	0.840273769
497.5	0.843819576
498	0.847282922
498.5	0.850663808
499	0.853962233
499.5	0.85750804
500	0.860971386
500.5	0.864599654
501	0.868310382
501.5	0.872103571
502	0.876226602
502.5	0.880019791
503	0.884225282
503.5	0.888513235
504	0.892966109
504.5	0.897501443
505	0.902036777
505.5	0.906654572
506	0.911272367
506.5	0.915477859
507	0.919683351
507.5	0.923559001
508	0.927269729
508.5	0.930568154
509	0.933619197
509.5	0.936505319
510	0.938896677
510.5	0.941205574
511	0.94326709
511.5	0.945081224
512	0.946565515
512.5	0.947967346
513	0.949121794
513.5	0.950276243
514	0.951430692
514.5	0.952585141
515	0.953904511
515.5	0.955223881
516	0.956790632
516.5	0.958604766
517	0.960336439
517.5	0.962233034
518	0.964294549
518.5	0.966438526
519	0.968500041
519.5	0.970726478
520	0.972952915
520.5	0.975261812
521	0.977405789
521.5	0.979632226
522	0.981693741
522.5	0.983837717
523	0.985569391
523.5	0.987383524
524	0.989197658
524.5	0.990846871
525	0.992248701
525.5	0.993650532
526	0.995052362
526.5	0.99604189
527	0.997196339
527.5	0.997113878
528	0.998598169
528.5	0.999175394
529	0.999422776
529.5	0.999917539
530	1
530.5	0.999917539
531	0.999752618
531.5	0.999422776
532	0.999175394
532.5	0.99868063
533	0.998185866
533.5	0.99736126
534	0.996619114
534.5	0.995794508
535	0.994640059
535.5	0.993815453
536	0.992661004
536.5	0.991506556
537	0.990269646
537.5	0.988867816
538	0.987630906
538.5	0.986064154
539	0.984662324
539.5	0.983178032
540	0.981611281
540.5	0.980044529
541	0.978395316
541.5	0.976746104
542	0.975014431
542.5	0.973282757
543	0.971551084
543.5	0.969736951
544	0.967840356
544.5	0.966108683
545	0.964294549
545.5	0.962315494
546	0.960336439
546.5	0.958357384
547	0.956378329
547.5	0.954399274
548	0.952337759
548.5	0.950193782
549	0.947967346
549.5	0.94590583
550	0.943761854
550.5	0.941452956
551	0.939226519
551.5	0.936917622
552	0.934691185
552.5	0.932382287
553	0.929990929
553.5	0.927517111
554	0.925125752
554.5	0.922569473
555	0.920095654
555.5	0.917539375
556	0.914983096
556.5	0.912426816
557	0.909705616
557.5	0.906984415
558	0.904345675
558.5	0.901706935
559	0.898985734
559.5	0.896182073
560	0.893378412
560.5	0.890574751
561	0.887688629
561.5	0.884802507
562	0.881833924
562.5	0.878782881
563	0.875814299
563.5	0.872680795
564	0.869629752
564.5	0.866496248
565	0.863362744
565.5	0.86014678
566	0.857013276
566.5	0.853714851
567	0.850333966
567.5	0.847200462
568	0.843737116
568.5	0.84035623
569	0.837057805
569.5	0.833511998
570	0.830048652
570.5	0.826585306
571	0.823039499
571.5	0.819493692
572	0.816030346
572.5	0.812402078
573	0.808938732
573.5	0.805310464
574	0.801682197
574.5	0.798053929
575	0.79426074
575.5	0.790632473
576	0.786839284
576.5	0.783046095
577	0.779252907
577.5	0.775377257
578	0.771584069
578.5	0.767708419
579	0.76391523
579.5	0.760039581
580	0.756081471
580.5	0.752205822
581	0.748330172
581.5	0.744372062
582	0.740413952
582.5	0.736373382
583	0.732332811
583.5	0.72829224
584	0.72433413
584.5	0.72029356
585	0.716252989
585.5	0.712212419
586	0.708254309
586.5	0.704213738
587	0.700255628
587.5	0.696132597
588	0.692174487
588.5	0.688133916
589	0.684093345
