[nm];[A];norm A
;Probe 1;
464;0,3889;0,292340074
464,5;0,3886;0,292114561
465;0,3883;0,291889048
465,5;0,3879;0,291588364
466;0,3878;0,291513193
466,5;0,3877;0,291438021
467;0,3877;0,291438021
467,5;0,3876;0,29136285
468;0,3875;0,291287679
468,5;0,3877;0,291438021
469;0,3877;0,291438021
469,5;0,3879;0,291588364
470;0,388;0,291663535
470,5;0,3883;0,291889048
471;0,3885;0,29203939
471,5;0,3887;0,292189732
472;0,3891;0,292490416
472,5;0,3894;0,292715929
473;0,3897;0,292941442
473,5;0,3901;0,293242126
474;0,3904;0,293467639
474,5;0,3908;0,293768323
475;0,3912;0,294069007
475,5;0,3916;0,294369691
476;0,3921;0,294745546
476,5;0,3925;0,29504623
477;0,3929;0,295346914
477,5;0,3934;0,295722769
478;0,3938;0,296023453
478,5;0,3943;0,296399308
479;0,3948;0,296775163
479,5;0,3952;0,297075848
480;0,3957;0,297451703
480,5;0,3962;0,297827558
481;0,3968;0,298278584
481,5;0,3972;0,298579268
482;0,3977;0,298955123
482,5;0,3982;0,299330978
483;0,3987;0,299706833
483,5;0,3992;0,300082688
484;0,3997;0,300458543
484,5;0,4002;0,300834398
485;0,4007;0,301210253
485,5;0,4013;0,301661279
486;0,4019;0,302112305
486,5;0,4024;0,302488161
487;0,4029;0,302864016
487,5;0,4034;0,303239871
488;0,404;0,303690897
488,5;0,4045;0,304066752
489;0,4052;0,304592949
489,5;0,4058;0,305043975
490;0,4064;0,305495001
490,5;0,407;0,305946027
491;0,4076;0,306397053
491,5;0,4083;0,30692325
492;0,4089;0,307374276
492,5;0,4097;0,307975645
493;0,4103;0,308426671
493,5;0,4111;0,309028039
494;0,4119;0,309629407
494,5;0,4127;0,310230775
495;0,4135;0,310832143
495,5;0,4143;0,311433511
496;0,4152;0,31211005
496,5;0,4161;0,312786589
497;0,417;0,313463129
497,5;0,4179;0,314139668
498;0,4189;0,314891378
498,5;0,42;0,315718259
499;0,4211;0,31654514
499,5;0,4222;0,317372021
500;0,4234;0,318274074
500,5;0,4247;0,319251297
501;0,4261;0,320303691
501,5;0,4275;0,321356085
502;0,429;0,32248365
502,5;0,4305;0,323611216
503;0,4322;0,324889123
503,5;0,434;0,326242201
504;0,4357;0,327520108
504,5;0,4376;0,328948358
505;0,4395;0,330376607
505,5;0,4415;0,331880027
506;0,4435;0,333383447
506,5;0,4455;0,334886868
507;0,4477;0,33654063
507,5;0,4498;0,338119221
508;0,4519;0,339697813
508,5;0,454;0,341276404
509;0,4561;0,342854995
509,5;0,4583;0,344508757
510;0,4604;0,346087349
510,5;0,4626;0,347741111
511;0,4646;0,349244531
511,5;0,4668;0,350898294
512;0,469;0,352552056
512,5;0,4712;0,354205818
513;0,4734;0,355859581
513,5;0,4757;0,357588514
514;0,478;0,359317447
514,5;0,4805;0,361196723
515;0,483;0,363075998
515,5;0,4855;0,364955273
516;0,4882;0,366984891
516,5;0,4909;0,369014508
517;0,4938;0,371194467
517,5;0,4967;0,373374427
518;0,4996;0,375554386
518,5;0,5028;0,377959859
519;0,5059;0,38029016
519,5;0,5091;0,382695633
520;0,5124;0,385176276
520,5;0,5158;0,387732091
521;0,5193;0,390363076
521,5;0,5228;0,392994061
522;0,5263;0,395625047
522,5;0,53;0,398406375
523;0,5335;0,40103736
