[nm]	norm A
	
350	0.189743937
350.5	0.191640699
351	0.193672944
351.5	0.195569706
352	0.197534209
352.5	0.199430971
353	0.201395475
353.5	0.203224495
354	0.205392223
354.5	0.207356727
355	0.209253489
355.5	0.211150251
356	0.213114754
356.5	0.215146999
357	0.217179244
357.5	0.219211489
358	0.221175992
358.5	0.223275979
359	0.225240482
359.5	0.227475952
360	0.229440455
360.5	0.231675925
361	0.233979136
361.5	0.236011381
362	0.238043626
362.5	0.240346836
363	0.242650047
363.5	0.244682292
364	0.246985503
364.5	0.249288714
365	0.251456442
365.5	0.253962878
366	0.256130606
366.5	0.258501558
367	0.260669286
367.5	0.263175721
368	0.265546674
368.5	0.268120851
369	0.270424062
369.5	0.272930497
370	0.275707899
370.5	0.2784853
371	0.280923994
371.5	0.283769137
372	0.286275572
372.5	0.288985232
373	0.291762634
373.5	0.29474326
374	0.297520661
374.5	0.300569029
375	0.303685138
375.5	0.306801246
376	0.310188321
376.5	0.313439913
377	0.316962471
377.5	0.320485029
378	0.324075329
378.5	0.327868852
379	0.331865601
379.5	0.335997832
380	0.339994581
380.5	0.344397778
381	0.348936458
381.5	0.353678363
382	0.358420268
382.5	0.363433139
383	0.368513752
383.5	0.373933071
384	0.379149167
384.5	0.38470397
385	0.390529739
385.5	0.396287766
386	0.402452242
386.5	0.408548977
387	0.414848936
387.5	0.421216637
388	0.427448855
388.5	0.434358488
389	0.440929413
389.5	0.447703563
390	0.454139006
390.5	0.461048638
391	0.467958271
391.5	0.47466468
392	0.480964639
392.5	0.487671047
393	0.494241973
393.5	0.500677415
394	0.506706408
394.5	0.512870885
395	0.518696654
395.5	0.524386939
396	0.529806259
396.5	0.534886872
397	0.53976426
397.5	0.54430294
398	0.548435171
398.5	0.552499661
399	0.555954478
399.5	0.55920607
400	0.562186696
400.5	0.564693131
401	0.567064083
401.5	0.568757621
402	0.570654383
402.5	0.571941471
403	0.572957594
403.5	0.573635009
404	0.574312424
404.5	0.574515648
405	0.57458339
405.5	0.574244682
406	0.573635009
406.5	0.573093077
407	0.57234792
407.5	0.571467281
408	0.570247934
408.5	0.569096328
409	0.567673757
409.5	0.566115702
410	0.564489907
410.5	0.562931852
411	0.56103509
411.5	0.559002845
412	0.557241566
412.5	0.555073838
413	0.553109335
413.5	0.551144831
414	0.548977103
414.5	0.546809375
415	0.544709389
415.5	0.542338437
416	0.540035226
416.5	0.537664273
417	0.535361062
417.5	0.532922368
418	0.530483674
418.5	0.528248205
419	0.525877252
419.5	0.523303075
420	0.52079664
420.5	0.518357946
421	0.515648286
421.5	0.513209592
422	0.510567674
422.5	0.507722531
423	0.505148354
423.5	0.502303211
424	0.49952581
424.5	0.496883891
425	0.493903265
425.5	0.491058122
426	0.488077496
426.5	0.485029129
427	0.482116244
427.5	0.479000135
428	0.475884027
428.5	0.472632435
429	0.469448584
429.5	0.466196992
430	0.462809917
430.5	0.459693808
431	0.456306734
431.5	0.452919659
432	0.449532584
432.5	0.44621325
433	0.442758434
433.5	0.439235876
434	0.435713318
434.5	0.43219076
435	0.428803685
435.5	0.425010161
436	0.421623086
436.5	0.417897304
437	0.414239263
437.5	0.410716705
438	0.407058664
438.5	0.403468365
439	0.399878065
439.5	0.396423249
440	0.392765208
440.5	0.389310392
441	0.385855575
441.5	0.382265276
442	0.378945942
442.5	0.375558867
443	0.372104051
443.5	0.368852459
444	0.365465384
444.5	0.362213792
445	0.3589622
445.5	0.355846091
446	0.352729982
446.5	0.349681615
447	0.346700989
447.5	0.343652622
448	0.340807479
448.5	0.337962336
449	0.335117193
449.5	0.332407533
450	0.329697873
450.5	0.327123696
451	0.324414036
451.5	0.321975342
452	0.319468907
452.5	0.317030213
453	0.314862485
453.5	0.312491532
454	0.310323804
454.5	0.308156076
455	0.305988348
455.5	0.303888362
456	0.301923859
456.5	0.299959355
457	0.298062593
457.5	0.296030348
458	0.294201328
458.5	0.292372307
459	0.290543287
459.5	0.288714266
460	0.286885246
460.5	0.285191708
461	0.283430429
461.5	0.281736892
462	0.279907872
462.5	0.278214334
463	0.276520797
463.5	0.274759518
464	0.272998239
464.5	0.271372443
465	0.269611164
465.5	0.267917626
466	0.266156347
466.5	0.26446281
467	0.262769272
467.5	0.261075735
468	0.259449939
468.5	0.257891885
469	0.25633383
469.5	0.254775776
470	0.253420946
470.5	0.251862891
471	0.25044032
471.5	0.24908549
472	0.247798401
472.5	0.246511313
473	0.245359707
473.5	0.244208102
474	0.243124238
474.5	0.242040374
475	0.241159734
475.5	0.240211353
476	0.239330714
476.5	0.238517816
477	0.237704918
477.5	0.237027503
478	0.236350088
478.5	0.235672673
479	0.235130741
479.5	0.234521068
480	0.234046877
480.5	0.233572687
481	0.233166238
481.5	0.232759789
482	0.23235334
482.5	0.232082374
483	0.231743666
483.5	0.231540442
484	0.231269476
484.5	0.231066251
485	0.230930768
485.5	0.230727544
486	0.230659802
486.5	0.230592061
487	0.230456578
487.5	0.230388836
488	0.230321095
488.5	0.230321095
489	0.230321095
489.5	0.230321095
490	0.230388836
490.5	0.230456578
491	0.230456578
491.5	0.230592061
492	0.230592061
492.5	0.230795285
493	0.230795285
493.5	0.230930768
494	0.231066251
494.5	0.231201734
495	0.231337217
495.5	0.2314727
496	0.231540442
496.5	0.231743666
497	0.231879149
497.5	0.232014632
498	0.232150115
498.5	0.232285598
499	0.232421081
499.5	0.232624306
500	0.232759789
500.5	0.232963013
501	0.233233979
501.5	0.233437204
502	0.23370817
502.5	0.233911394
503	0.234250102
503.5	0.234521068
504	0.234724292
504.5	0.235063
505	0.235401707
505.5	0.235672673
506	0.236011381
506.5	0.236282347
507	0.236621054
507.5	0.236824279
508	0.237095245
508.5	0.237298469
509	0.237569435
509.5	0.237704918
510	0.237840401
510.5	0.238043626
511	0.238179109
511.5	0.238314592
512	0.238450075
512.5	0.238517816
513	0.238653299
513.5	0.238721041
514	0.238856524
514.5	0.238992007
515	0.23912749
515.5	0.239330714
516	0.239533938
516.5	0.239737163
517	0.239940387
517.5	0.240211353
518	0.240482319
518.5	0.240753285
519	0.241024251
519.5	0.241362959
520	0.241633925
520.5	0.241972632
521	0.24231134
521.5	0.242650047
522	0.242988755
522.5	0.243327462
523	0.24366617
523.5	0.244004877
524	0.244343585
524.5	0.244682292
525	0.245088741
525.5	0.245359707
526	0.245698415
526.5	0.246037122
527	0.246443571
527.5	0.246714537
528	0.247053245
528.5	0.247324211
529	0.247662918
529.5	0.247933884
530	0.248272592
530.5	0.248543558
531	0.248814524
531.5	0.249153231
532	0.249424197
532.5	0.249695163
533	0.250033871
533.5	0.250237095
534	0.250508061
534.5	0.250779027
535	0.251049993
535.5	0.251320959
536	0.251591925
536.5	0.251862891
537	0.252133857
537.5	0.252404823
538	0.252675789
538.5	0.252946755
539	0.25314998
539.5	0.253420946
540	0.253759653
540.5	0.254030619
541	0.254233844
541.5	0.25450481
542	0.254775776
542.5	0.255046742
543	0.255317708
543.5	0.255588674
544	0.25585964
544.5	0.256130606
545	0.256401572
545.5	0.256740279
546	0.256943504
546.5	0.25721447
547	0.257553177
547.5	0.257824143
548	0.258095109
548.5	0.258366075
549	0.258637041
549.5	0.258975749
550	0.259246715
550.5	0.259517681
551	0.259856388
551.5	0.260127354
552	0.26039832
552.5	0.260737028
553	0.261007993
553.5	0.261346701
554	0.261685408
554.5	0.262024116
555	0.262295082
555.5	0.262633789
556	0.262972497
556.5	0.263311204
557	0.263649912
557.5	0.263988619
558	0.264327327
558.5	0.264666034
559	0.265004742
559.5	0.265343449
560	0.265682157
560.5	0.266020864
561	0.266359572
561.5	0.266766021
562	0.267104728
562.5	0.267511177
563	0.267917626
563.5	0.268256334
564	0.268662783
564.5	0.269069232
565	0.269475681
565.5	0.26988213
566	0.270288579
566.5	0.270695028
