1,0
1.01,-0.00265
1.02,-0.0026
1.03,-0.00255
1.04,-0.00251
1.05,-0.00246
1.06,-0.00241
1.07,-0.00237
1.08,-0.00233
1.09,-0.00229
1.1,-0.00225
1.11,-0.00221
1.12,-0.00217
1.13,-0.00213
1.14,-0.0021
1.15,-0.00206
1.16,-0.00203
1.17,-0.002
1.18,-0.00196
1.19,-0.00193
1.2,-0.0019
1.21,-0.00187
1.22,-0.00184
1.23,-0.00181
1.24,-0.00179
1.25,-0.00176
1.26,-0.00173
1.27,-0.00171
1.28,-0.00168
1.29,-0.00166
1.3,-0.00163
1.31,-0.00161
1.32,-0.00158
1.33,-0.00156
1.34,-0.00154
1.35,-0.00152
1.36,-0.0015
1.37,-0.00148
1.38,-0.00146
1.39,-0.00144
1.4,-0.00142
1.41,-0.0014
1.42,-0.00138
1.43,-0.00136
1.44,-0.00134
1.45,-0.00132
1.46,-0.00131
1.47,-0.00129
1.48,-0.00127
1.49,-0.00126
1.5,-0.00124
1.51,-0.00123
1.52,-0.00121
1.53,-0.0012
1.54,-0.00118
1.55,-0.00117
1.56,-0.00115
1.57,-0.00114
1.58,-0.00113
1.59,-0.00111
1.6,-0.0011
1.61,-0.00109
1.62,-0.00107
1.63,-0.00106
1.64,-0.00105
1.65,-0.00104
1.66,-0.00103
1.67,-0.00101
1.68,-0.001
1.69,-9.911E-4
1.7,-9.801E-4
1.71,-9.694E-4
1.72,-9.588E-4
1.73,-9.484E-4
1.74,-9.381E-4
1.75,-9.281E-4
1.76,-9.182E-4
1.77,-9.085E-4
1.78,-8.989E-4
1.79,-8.895E-4
1.8,-8.802E-4
1.81,-8.711E-4
1.82,-8.622E-4
1.83,-8.534E-4
1.84,-8.447E-4
1.85,-8.362E-4
1.86,-8.278E-4
1.87,-8.195E-4
1.88,-8.114E-4
1.89,-8.033E-4
1.9,-7.954E-4
1.91,-7.877E-4
1.92,-7.8E-4
1.93,-7.725E-4
1.94,-7.651E-4
1.95,-7.578E-4
1.96,-7.506E-4
1.97,-7.435E-4
1.98,-7.365E-4
1.99,-7.296E-4
2,-7.228E-4
2.01,-7.162E-4
2.02,-7.096E-4
2.03,-7.031E-4
2.04,-6.967E-4
2.05,-6.904E-4
2.06,-6.842E-4
2.07,-6.781E-4
2.08,-6.72E-4
2.09,-6.661E-4
2.1,-6.602E-4
2.11,-6.544E-4
2.12,-6.487E-4
2.13,-6.431E-4
2.14,-6.375E-4
2.15,-6.32E-4
2.16,-6.266E-4
2.17,-6.213E-4
2.18,-6.16E-4
2.19,-6.108E-4
2.2,-6.057E-4
2.21,-6.007E-4
2.22,-5.957E-4
2.23,-5.908E-4
2.24,-5.859E-4
2.25,-5.811E-4
2.26,-5.764E-4
2.27,-5.717E-4
2.28,-5.671E-4
2.29,-5.625E-4
2.3,-5.581E-4
2.31,-5.536E-4
2.32,-5.492E-4
2.33,-5.449E-4
2.34,-5.406E-4
2.35,-5.364E-4
2.36,-5.323E-4
2.37,-5.282E-4
2.38,-5.241E-4
2.39,-5.201E-4
2.4,-5.161E-4
2.41,-5.122E-4
2.42,-5.083E-4
2.43,-5.045E-4
2.44,-5.007E-4
2.45,-4.97E-4
2.46,-4.933E-4
2.47,-4.897E-4
2.48,-4.861E-4
2.49,-4.825E-4
2.5,-4.79E-4
2.51,-4.755E-4
2.52,-4.721E-4
2.53,-4.687E-4
2.54,-4.653E-4
2.55,-4.62E-4
2.56,-4.587E-4
2.57,-4.555E-4
2.58,-4.523E-4
2.59,-4.491E-4
2.6,-4.46E-4
2.61,-4.429E-4
2.62,-4.398E-4
2.63,-4.368E-4
2.64,-4.338E-4
2.65,-4.308E-4
2.66,-4.279E-4
2.67,-4.25E-4
2.68,-4.221E-4
2.69,-4.193E-4
2.7,-4.165E-4
2.71,-4.137E-4
2.72,-4.11E-4
2.73,-4.083E-4
2.74,-4.056E-4
2.75,-4.029E-4
2.76,-4.003E-4
2.77,-3.977E-4
2.78,-3.951E-4
2.79,-3.926E-4
2.8,-3.9E-4
2.81,-3.875E-4
2.82,-3.851E-4
2.83,-3.826E-4
2.84,-3.802E-4
2.85,-3.778E-4
2.86,-3.754E-4
2.87,-3.731E-4
2.88,-3.708E-4
2.89,-3.685E-4
2.9,-3.662E-4
2.91,-3.64E-4
2.92,-3.617E-4
2.93,-3.595E-4
2.94,-3.573E-4
2.95,-3.552E-4
2.96,-3.53E-4
2.97,-3.509E-4
2.98,-3.488E-4
2.99,-3.467E-4
3,-3.447E-4
3.01,-3.426E-4
3.02,-3.406E-4
3.03,-3.386E-4
3.04,-3.366E-4
3.05,-3.346E-4
3.06,-3.327E-4
3.07,-3.308E-4
3.08,-3.289E-4
3.09,-3.27E-4
3.1,-3.251E-4
3.11,-3.233E-4
3.12,-3.214E-4
3.13,-3.196E-4
3.14,-3.178E-4
3.15,-3.16E-4
3.16,-3.142E-4
3.17,-3.125E-4
3.18,-3.107E-4
3.19,-3.09E-4
3.2,-3.073E-4
