Labels,Ex40,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,520.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.50001854,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.9999765,
Detector,PMT980,

460.00,3.56795406E+5,
461.00,3.32514563E+5,
462.00,2.98325563E+5,
463.00,2.55074359E+5,
464.00,2.70108688E+5,
465.00,2.80918969E+5,
466.00,2.68638375E+5,
467.00,2.11242156E+5,
468.00,1.61068344E+5,
469.00,1.90330922E+5,
470.00,2.02821781E+5,
471.00,2.13254766E+5,
472.00,2.23394969E+5,
473.00,1.97321344E+5,
474.00,1.62045938E+5,
475.00,2.08885438E+5,
476.00,2.10513656E+5,
477.00,2.03616344E+5,
478.00,2.04185750E+5,
479.00,1.91901563E+5,
480.00,1.83094719E+5,
481.00,1.46056031E+5,
482.00,1.51416984E+5,
483.00,1.44997609E+5,
484.00,1.46165641E+5,
485.00,1.47415516E+5,
486.00,1.52810563E+5,
487.00,1.52697344E+5,
488.00,1.51411516E+5,
489.00,1.47449641E+5,
490.00,1.46902922E+5,
491.00,1.40102016E+5,
492.00,1.10470453E+5,
493.00,1.12967883E+5,
494.00,1.23003664E+5,
495.00,1.29774359E+5,
496.00,1.26881508E+5,
497.00,1.28872969E+5,
498.00,1.27986969E+5,
499.00,1.24230750E+5,
500.00,1.20940625E+5,
